REPORT: IMPORT PROCESS
Year: All
Month: All
ID,Quantity,Price,Import date
AUD001,15,22050,8/10/2019
AUD002,10,45200,13/12/2019
AUD003,15,32150,12/7/2019
BMW001,10,45620,27/7/2017
BMW002,10,48690,14/9/2019
BMW003,10,148000,3/7/2018
BUG001,2,2880000,14/2/2017
BUG002,2,5100000,5/5/2017
BUG003,1,12000000,15/1/2019
CAD001,10,39920,11/10/2019
CAD002,10,49120,25/7/2017
CAD003,10,53320,28/10/2018
CHE001,5,15515,22/11/2018
CHE002,10,21520,22/8/2018
CHE003,10,23520,20/3/2018
FER001,2,980000,12/8/2019
FER002,5,276550,3/9/2017
FER003,5,350000,5/7/2019
FOR001,15,40350,24/1/2018
FOR002,20,24260,19/12/2018
FOR003,20,24105,23/6/2018
FOR004,20,52000,23/3/2017
FOR005,20,34595,20/4/2017
HON001,30,16850,1/8/2018
HON002,25,14050,15/9/2018
HYU001,30,12300,18/10/2018
HYU002,35,8560,19/1/2019
JAG001,20,39580,10/9/2019
JAG002,5,122700,16/3/2019
JAG003,5,71215,6/7/2018
LAM001,5,200000,27/12/2018
LAM002,3,289950,28/4/2019
LAM003,3,601020,16/3/2019
LAD001,5,364570,22/9/2017
LAD002,5,214453,7/5/2018
LAD003,5,141539,14/3/2018
LEX001,5,64750,7/12/2018
LEX002,5,84600,23/5/2017
LEX003,4,92950,16/11/2019
MAR001,10,6050,11/1/2019
MAR002,10,3506,27/12/2019
MAZ001,10,25177,17/12/2018
MAZ002,10,30025,4/6/2019
MAZ003,10,35000,15/8/2017
MER001,10,83800,17/9/2017
MER002,7,33495,28/12/2018
MER003,10,70195,25/9/2019
POR001,3,99500,15/9/2018
POR002,4,63700,28/2/2019
POR003,3,142000,16/6/2019
PEU001,5,60046,14/4/2019
PEU002,10,6200,25/2/2017
PEU003,4,41132,11/4/2018
ROL001,5,322500,2/8/2018
ROL002,5,402850,20/2/2019
ROL003,5,325000,2/4/2017
SKO001,10,42650,21/6/2019
SKO002,5,26540,28/10/2017
TOY001,30,35720,2/8/2019
TOY002,35,15800,23/12/2019
VIN001,25,16500,20/3/2017
VIN002,30,36520,21/7/2017
VIN003,30,52000,14/10/2017
VOL002,15,32650,13/1/2017
VOL001,15,31520,7/4/2019
